,,,,,,,
,,,26,,,,
,ポジション,区分,名前,顔写真URL,顔写真,年齢,所属クラブ
,GK,確実,鈴木彩艶,https://commons.wikimedia.org/wiki/Special:FilePath/ZION%20SUZUKI%20-%20JPN%20vs%20THA%20-%20Friendly%20Match%20-%202024.01.01.jpg?width=160,,23,パルマ
,GK,本命,大迫敬介,https://commons.wikimedia.org/wiki/Special:FilePath/Sanfrecce%20Hiroshima%20-1%20Keisuke%20OSAKO.jpg?width=160,,26,サンフレッチェ広島
,GK,本命,谷晃生,,,25,FC町田ゼルビア
,CB,確実,板倉滉,https://commons.wikimedia.org/wiki/Special:FilePath/K%C5%8D%20Itakura%20-%20%E6%9D%BF%E5%80%89%E5%A0%B0.jpg?width=160,,29,ボルシアMG
,CB,確実,伊藤洋輝,https://commons.wikimedia.org/wiki/Special:FilePath/Hiroki%20Ito%20VfB%20Stuttgart.jpg?width=160,,27,バイエルン
,CB,本命,冨安健洋,https://commons.wikimedia.org/wiki/Special:FilePath/Takehiro%20Tomiyasu%2C%202019%20AFC%20Asian%20Cup%201.jpg?width=160,,27,アヤックス
,CB,本命,谷口彰悟,https://commons.wikimedia.org/wiki/Special:FilePath/Shogo%20Taniguchi.jpg?width=160,,34,シント＝トロイデン
,CB,本命,高井幸大,,,21,ボルシアMG
,CB/SB,本命,瀬古歩夢,,,25,ル・アーヴル
,SB/WB,確実,菅原由勢,https://commons.wikimedia.org/wiki/Special:FilePath/Yukinari%20Sugawara%202212024%20(5).jpg?width=160,,25,サウサンプトン
,SB/WB,本命,毎熊晟矢,https://commons.wikimedia.org/wiki/Special:FilePath/Seiya%20Maikuma%202024%20(cropped).jpg?width=160,,28,AZ
,DMF/CMF,確実,遠藤航,https://commons.wikimedia.org/wiki/Special:FilePath/Wataru%20Endo%20Japan.jpg?width=160,,33,リヴァプール
,DMF/CMF,確実,守田英正,https://commons.wikimedia.org/wiki/Special:FilePath/%E5%AE%88%E7%94%B0%E8%8B%B1%E6%AD%A3%20(cropped).jpg?width=160,,31,スポルティング
,DMF/CMF,確実,田中碧,https://commons.wikimedia.org/wiki/Special:FilePath/Fumio%20Kishida%20with%20Japan%20National%20Football%20Team%20after%20Qatar%20World%20Cup%20(5)%20(cropped).jpg?width=160,,27,リーズ
,DMF/CMF,本命,佐野海舟,https://commons.wikimedia.org/wiki/Special:FilePath/Kaishu%20Sano%202024%20(cropped).jpg?width=160,,25,マインツ
,DMF/CMF,本命,藤田譲瑠チマ,,,24,シント＝トロイデン
,OMF/CMF/WB,本命,旗手怜央,https://commons.wikimedia.org/wiki/Special:FilePath/Celtic-20240722-037%20(cropped).jpg?width=160,,28,セルティック
,OMF/SH,確実,久保建英,https://commons.wikimedia.org/wiki/Special:FilePath/Takefusa%20Kubo%201053.jpg?width=160,,24,レアル・ソシエダ
,OMF/SH,確実,堂安律,https://commons.wikimedia.org/wiki/Special:FilePath/Ritsu%20Doan%2020191301%20(cropped).jpg?width=160,,27,フライブルク
,OMF/SH,確実,鎌田大地,https://commons.wikimedia.org/wiki/Special:FilePath/2022128173756%202022-05-08%20Fussball%20Eintracht%20Frankfurt%20vs%20Borussia%20M%C3%B6nchengladbach%20-%20Sven%20-%201D%20X%20MK%20II%20-%200725%20-%20AK8I7460%20(Daichi%20Kamada%20cropped).jpg?width=160,,29,クリスタル・パレス
,WG,確実,伊東純也,https://commons.wikimedia.org/wiki/Special:FilePath/FC%20Salzburg%20gegen%20KRC%20Genk%20(UEFA%20Championsleague%2017.%20September%202019)%2012.jpg?width=160,,33,スタッド・ランス
,WG,本命,三笘薫,https://commons.wikimedia.org/wiki/Special:FilePath/Kaoru%20Mitoma%2000-01-48.01.png?width=160,,29,ブライトン
,WG,本命,中村敬斗,https://commons.wikimedia.org/wiki/Special:FilePath/FC%20Red%20Bull%20Salzburg%20gegen%20Linzer%20ASK%20(2022-10-01)a%2002.jpg?width=160,,25,スタッド・ランス
,WG/FW,本命,前田大然,https://commons.wikimedia.org/wiki/Special:FilePath/Celtic-20240722-018%20(cropped).jpg?width=160,,29,セルティック
,CF,確実,上田綺世,https://commons.wikimedia.org/wiki/Special:FilePath/Go%20Ahead%20Eagles%20-%20Feyenoord%20-%2053679351240%20(Ayase%20Ueda).jpg?width=160,,28,フェイエノールト
,CF,本命,小川航基,https://commons.wikimedia.org/wiki/Special:FilePath/GAE%20-%20NEC%20-%2053493888105%20(Koki%20Ogawa).jpg?width=160,,29,NEC
